Sr no,Name,MoneyControl_link,News_link
120,Dilip+Buildcon+Ltd+moneycontrol,,
121,Dish+TV+India+Ltd+moneycontrol,,
122,Divi%27s+Laboratories+Ltd+moneycontrol,,
123,DLF+Ltd+moneycontrol,,
124,Dr+Reddy%27s+Laboratories+Ltd+moneycontrol,,
125,Dr.+Lal+PathLabs+Ltd+moneycontrol,,
126,eClerx+Services+Ltd+moneycontrol,,
127,Edelweiss+Financial+Services+Ltd+moneycontrol,,
128,Eicher+Motors+Ltd+moneycontrol,,
129,EID+Parry+India+Ltd+moneycontrol,,
130,EIH+Ltd+moneycontrol,,
131,Elgi+Equipments+Ltd.+moneycontrol,,
132,Emami+Ltd+moneycontrol,,
133,Endurance+Technologies+Ltd+moneycontrol,,
134,Engineers+India+Ltd+moneycontrol,,
135,Entertainment+Network+India+moneycontrol,,
136,Equitas+Holdings+Ltd+moneycontrol,,
137,Eris+Lifesciences+Ltd+moneycontrol,,
138,Eros+International+Media+Ltd+moneycontrol,,
139,Escorts+Ltd+moneycontrol,,
140,Essel+Propack+Ltd.+moneycontrol,,
141,Eveready+Industries+India+Ltd+moneycontrol,,
142,Exide+Industries+Ltd+moneycontrol,,
143,FDC+Ltd+moneycontrol,,
144,Federal+Bank+Ltd+moneycontrol,,
145,Finolex+Cables+Ltd+moneycontrol,,
146,Finolex+Industries+Ltd+moneycontrol,,
147,Firstsource+Solutions+Ltd+moneycontrol,,
148,Force+Motors+Ltd+moneycontrol,,
149,Fortis+Healthcare+Ltd.+moneycontrol,,
150,Future+Consumer+Ltd+moneycontrol,,
151,Future+Lifestyle+Fashions+Limited+moneycontrol,,
152,Gail+India+Ltd+moneycontrol,,
153,Gateway+Distriparks+Ltd+moneycontrol,,
154,Gati+Ltd+moneycontrol,,
155,GE+Power+India+Ltd+moneycontrol,,
156,GE+T%26D+India+Ltd+moneycontrol,,
157,GHCL+Ltd+moneycontrol,,
158,GIC+Housing+Finance+Ltd+moneycontrol,,
159,Gillette+India+Ltd+moneycontrol,,
160,GlaxoSmithKline+Consumer+Healthcare+Ltd+moneycontrol,,
161,GlaxoSmithKline+Pharmaceuticals+Ltd+moneycontrol,,
162,Glenmark+Pharmaceuticals+Ltd+moneycontrol,,
163,GMR+Infrastructure+Ltd+moneycontrol,,
164,Godfrey+Phillips+India+Ltd+moneycontrol,,
165,Godrej+Consumer+Products+Ltd+moneycontrol,,
166,Godrej+Industries+Ltd+moneycontrol,,
167,Godrej+Properties+Ltd+moneycontrol,,
168,Granules+India+Ltd+moneycontrol,,
169,Graphite+India+Ltd.+moneycontrol,,
170,Grasim+Industries+Ltd+moneycontrol,,
171,Great+Eastern+Shipping+Co+Ltd/The+moneycontrol,,
172,Greaves+Cotton+Ltd.+moneycontrol,,
173,Greenply+Industries+Ltd.+moneycontrol,,
174,Grindwell+Norton+Ltd+moneycontrol,,
175,GRUH+Finance+Ltd.+moneycontrol,,
176,Gujarat+Alkalies+%26+Chemicals+Ltd.+moneycontrol,,
177,Gujarat+Fluorochemicals+moneycontrol,,
178,Gujarat+Gas+Ltd+moneycontrol,,
179,Gujarat+Mineral+Development+Corp+Ltd+moneycontrol,,
180,Gujarat+Narmada+Valley+Fertilizers+and+Chemicals+Limited+moneycontrol,,
181,Gujarat+Pipavav+Port+Ltd+moneycontrol,,
182,Gujarat+State+Fertilisers+%26+Chemicals+Ltd+moneycontrol,,
183,Gujarat+State+Petronet+Ltd+moneycontrol,,
184,Gulf+Oil+Lubricants+India+Ltd+moneycontrol,,
185,Hatsun+Agro+Products+Ltd+moneycontrol,,
186,Havells+India+Ltd+moneycontrol,,
187,HCL+Technologies+Ltd+moneycontrol,,
188,HDFC+Bank+Ltd+moneycontrol,,
189,HEG+Ltd+moneycontrol,,
190,HeidelbergCement+India+Ltd.+moneycontrol,,
191,Heritage+Foods+Ltd+moneycontrol,,
192,Hero+MotoCorp+Ltd+moneycontrol,,
193,Hexaware+Technologies+Ltd+moneycontrol,,
194,Himachal+Futuristic+Communications+Ltd+moneycontrol,,
195,Himadri+Speciality+Chemical+Ltd+moneycontrol,,
196,Himatsingka+Seide+moneycontrol,,
197,Hindalco+Industries+Ltd+moneycontrol,,
198,Hindustan+Construction+Co+moneycontrol,,
199,Hindustan+Copper+moneycontrol,,
200,Hindustan+Petroleum+Corp+Ltd+moneycontrol,,
201,Hindustan+Unilever+Ltd+moneycontrol,,
202,Hindustan+Zinc+Ltd+moneycontrol,,
