Sr.no,id,name,moneycontrol_link,news
49,500096,DABUR INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/daburindia/DI,
50,505537,ZEE ENTERTAINMENT ENTERPRISES LTD.,http://www.moneycontrol.com/india/stockpricequote/media-entertainment/zeeentertainmententerprises/ZEE,
51,500124,DR.REDDY'S LABORATORIES LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL,
52,500087,CIPLA LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C,
53,532755,TECH MAHINDRA LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/techmahindra/TM4,
54,500470,TATA STEEL LTD.,http://www.moneycontrol.com/india/stockpricequote/steel-large/tatasteel/TIS,
55,500300,GRASIM INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01,
56,500425,AMBUJA CEMENTS LTD.,http://www.moneycontrol.com/india/stockpricequote/cement-major/ambujacements/AC18,
57,500228,JSW STEEL LTD.,http://www.moneycontrol.com/india/stockpricequote/steel-large/jswsteel/JSW01,
58,526371,NMDC LTD.,http://www.moneycontrol.com/india/stockpricequote/mining-minerals/nmdc/NMD02,
59,500550,SIEMENS LTD.,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/siemens/S,
60,532321,CADILA HEALTHCARE LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC,
61,524804,AUROBINDO PHARMA LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP,
62,540376,AVENUE SUPERMARTS LTD.,http://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19,
63,500440,HINDALCO INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI,
64,532134,BANK OF BARODA,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/bankofbaroda/BOB,
65,500825,BRITANNIA INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/food-processing/britanniaindustries/BI,
66,533098,NHPC LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/nhpc/N07,
67,500114,TITAN COMPANY LTD.,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/titancompany/TI01,
68,500103,BHARAT HEAVY ELECTRICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/bharatheavyelectricals/BHE,
69,512070,UPL LTD.,http://www.moneycontrol.com/india/stockpricequote/chemicals/upl/UP04,
70,532810,POWER FINANCE CORPORATION LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/powerfinancecorporation/PFC02,
71,531642,MARICO LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/marico/M13,
72,535789,INDIABULLS HOUSING FINANCE LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-housing/indiabullshousingfinance/IHF01,
73,500331,PIDILITE INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/chemicals/pidiliteindustries/PI11,
74,532822,IDEA CELLULAR LTD.,http://www.moneycontrol.com/india/stockpricequote/telecommunications-service/ideacellular/IC8,
75,500049,BHARAT ELECTRONICS LTD.,http://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03,
76,539448,INTERGLOBE AVIATION LTD.,http://www.moneycontrol.com/india/stockpricequote/transport-logistics/interglobeaviation/IA04,
77,532432,UNITED SPIRITS LTD.,http://www.moneycontrol.com/india/stockpricequote/breweries-distilleries/unitedspirits/US,
78,500302,PIRAMAL ENTERPRISES LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/piramalenterprises/PH05,
79,532466,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/oraclefinancialservicessoftware/OFS01,
80,532955,RURAL ELECTRIFICATION CORPORATION LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/ruralelectrificationcorporation/REC02,
81,532461,PUNJAB NATIONAL BANK,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/punjabnationalbank/PNB05,
82,532522,PETRONET LNG LTD.,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/petronetlng/PLN,
83,500253,LIC HOUSING FINANCE LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-housing/lichousingfinance/LIC,
84,533106,OIL INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/oilindia/OI13,
85,500410,ACC LTD.,http://www.moneycontrol.com/india/stockpricequote/cement-major/acc/ACC06,
86,532733,SUN TV NETWORK LTD.,http://www.moneycontrol.com/india/stockpricequote/media-entertainment/suntvnetwork/STN01,
87,517354,HAVELLS INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/electric-equipment/havellsindia/HI01,
88,532296,GLENMARK PHARMACEUTICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08,
89,500477,ASHOK LEYLAND LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/ashokleyland/AL,
90,532868,DLF LTD.,http://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/dlf/D04,
91,500830,COLGATE-PALMOLIVE (INDIA) LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/colgatepalmoliveindia/CPI,
92,500113,STEEL AUTHORITY OF INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/steel-large/steelauthorityindia/SAI,
93,500002,ABB INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/abbindia/ABB,
94,500480,CUMMINS INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02,
95,531162,EMAMI LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/emami/E06,
96,531344,CONTAINER CORPORATION OF INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/transport-logistics/containercorporationindia/CCI,
97,500493,BHARAT FORGE LTD.,http://www.moneycontrol.com/india/stockpricequote/castings-forgings/bharatforge/BF03,
98,500660,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK,
99,500420,TORRENT PHARMACEUTICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/torrentpharmaceuticals/TP06,
100,539523,ALKEM LABORATORIES LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05,
101,500459,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/proctergamblehygienehealthcare/PGH,
102,500290,MRF LTD.,http://www.moneycontrol.com/india/stockpricequote/tyres/mrf/MRF,
103,500490,BAJAJ HOLDINGS & INVESTMENT LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-investments/bajajholdingsinvestment/BHI,
104,500400,TATA POWER CO.LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/tatapowercompany/TPC,
105,511218,SHRIRAM TRANSPORT FINANCE CO.LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/shriramtransportfinancecorporation/STF,
106,500676,GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD.,http://www.moneycontrol.com/india/stockpricequote/food-processing/glaxosmithklineconsumerhealthcare/GSC04,
107,509480,BERGER PAINTS INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/paints-varnishes/bergerpaintsindia/BPI02,
108,532523,BIOCON LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03,
109,539437,IDFC BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/idfcbank/IDF01,
110,532478,UNITED BREWERIES LTD.,http://www.moneycontrol.com/india/stockpricequote/breweries-distilleries/unitedbreweries/UB02,
111,500483,TATA COMMUNICATIONS LTD.,http://www.moneycontrol.com/india/stockpricequote/telecommunications-service/tatacommunications/TC17,
112,500870,CASTROL INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01,
113,532343,TVS MOTOR COMPANY LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/tvsmotorcompany/TVS,
114,532488,DIVI'S LABORATORIES LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03,
115,533519,L&T FINANCE HOLDINGS LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-investments/ltfinanceholdings/LFH,
116,500165,KANSAI NEROLAC PAINTS LTD.,http://www.moneycontrol.com/india/stockpricequote/paints-varnishes/kansainerolacpaints/KNP,
117,500303,ADITYA BIRLA NUVO LTD.,http://www.moneycontrol.com/india/stockpricequote/diversified/adityabirlanuvo/ABN01,
118,500109,MANGALORE REFINERY & PETROCHEMICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/refineries/mangalorerefinerypetrochemicals/MRP,
119,500086,EXIDE INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/exideindustries/EI,
120,532885,CENTRAL BANK OF INDIA,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/centralbankindia/CBO01,
121,508869,APOLLO HOSPITALS ENTERPRISE LTD.,http://www.moneycontrol.com/india/stockpricequote/hospitals-medical-services/apollohospitalsenterprises/AHE,
122,532720,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/mahindramahindrafinancialservices/MMF04,
123,533309,DALMIA BHARAT LTD.,http://www.moneycontrol.com/india/stockpricequote/cement-major/dalmiabharat/DBE,
124,540173,PNB Housing Finance Ltd,http://www.moneycontrol.com/india/stockpricequote/finance-housing/pnbhousingfinance/PHF,
125,511431,VAKRANGEE LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software-medium-small/vakrangee/VS,
126,500164,GODREJ INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/godrejindustries/GI23,
127,532827,PAGE INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/textiles-readymade-apparels/pageindustries/PI35,
128,500116,IDBI BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/idbibank/IDB05,
129,534309,NBCC (India) Ltd,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/nbccindia/NBC01,
130,532483,CANARA BANK,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/canarabank/CB06,
131,513683,NEYVELI LIGNITE CORPORATION LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/nlcindia/NLC,
132,540065,RBL BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/rblbank/RB03,
133,532331,AJANTA PHARMA LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22,
134,500260,THE RAMCO CEMENTS LTD.,http://www.moneycontrol.com/india/stockpricequote/cement-major/theramcocements/MC,
