Sr no,Name,MoneyControl_link,News_link
59,BF+Utilities+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
60,Bharat+Electronics+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
61,Bharat+Financial+Inclusion+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
62,Bharat+Forge+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
63,Bharat+Heavy+Electricals+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
64,Bharat+Petroleum+Corp+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
65,Bharti+Airtel+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
66,Bharti+Infratel+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
67,Biocon+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
68,Birla+Corp+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
69,Bliss+Gvs+Pharma+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
70,Blue+Dart+Express+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
71,Blue+Star+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
72,Bombay+Burmah+Trading+Corp+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
73,Bombay+Dyeing+%26+Manufacturing+Co+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
74,Bosch+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
75,Britannia+Industries+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
76,Cadila+Healthcare+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
77,Can+Fin+Homes+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
78,Canara+Bank+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
79,Capital+First+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
80,Caplin+Point+Laboratories+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
81,Carborundum+Universal+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
82,CARE+Ratings+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
83,Castrol+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
