Sr.no,id,name,moneycontrol_link,news,cnews
1,532540,TATA CONSULTANCY SERVICES LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/tataconsultancyservices/TCS,http://www.moneycontrol.com/company-article/tataconsultancyservices/news/TCS#TCS,
2,500325,RELIANCE INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/refineries/relianceindustries/RI,http://www.moneycontrol.com/company-article/relianceindustries/news/RI#RI,
3,500180,HDFC BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/hdfcbank/HDF01,http://www.moneycontrol.com/company-article/hdfcbank/news/HDF01#HDF01,
4,500875,ITC LTD.,http://www.moneycontrol.com/india/stockpricequote/cigarettes/itc/ITC,http://www.moneycontrol.com/company-article/itc/news/ITC#ITC,
5,500312,OIL AND NATURAL GAS CORPORATION LTD.,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/oilnaturalgascorporation/ONG,http://www.moneycontrol.com/company-article/oilnaturalgascorporation/news/ONG#ONG,
6,500209,INFOSYS LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/infosys/IT,http://www.moneycontrol.com/company-article/infosys/news/IT#IT,
7,500010,HOUSING DEVELOPMENT FINANCE CORP.LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-housing/housingdevelopmentfinancecorporation/HDF,http://www.moneycontrol.com/company-article/housingdevelopmentfinancecorporation/news/HDF#HDF,
8,500112,STATE BANK OF INDIA,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/statebankindia/SBI,http://www.moneycontrol.com/company-article/statebankindia/news/SBI#SBI,
9,533278,COAL INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/mining-minerals/coalindia/CI11,http://www.moneycontrol.com/company-article/coalindia/news/CI11#CI11,
10,500696,HINDUSTAN UNILEVER LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/hindustanunilever/HU,http://www.moneycontrol.com/company-article/hindustanunilever/news/HU#HU,
11,530965,INDIAN OIL CORPORATION LTD.,http://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC,http://www.moneycontrol.com/company-article/indianoilcorporation/news/IOC#IOC,
12,532500,MARUTI SUZUKI INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-cars-jeeps/marutisuzukiindia/MS24,http://www.moneycontrol.com/company-article/marutisuzukiindia/news/MS24#MS24,
13,524715,SUN PHARMACEUTICAL INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sunpharmaceuticalindustries/SPI,http://www.moneycontrol.com/company-article/sunpharmaceuticalindustries/news/SPI#SPI,
14,532174,ICICI BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/icicibank/ICI02,http://www.moneycontrol.com/company-article/icicibank/news/ICI02#ICI02,
15,500247,KOTAK MAHINDRA BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/kotakmahindrabank/KMB,http://www.moneycontrol.com/company-article/kotakmahindrabank/news/KMB#KMB,
16,500570,TATA MOTORS LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/tatamotors/TM03,http://www.moneycontrol.com/company-article/tatamotors/news/TM03#TM03,
17,500510,LARSEN & TOUBRO LTD.,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/larsentoubro/LT,http://www.moneycontrol.com/company-article/larsentoubro/news/LT#LT,
